Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Completion Year,Tenure Type,Property Type,Floor Range,Land Title,State,price,Facility_Barbeque area,Facility_Club house,Facility_Gymnasium,Facility_Jogging Track,Facility_Lift,Facility_Minimart,Facility_Multipurpose hall,Facility_Parking,Facility_Playground,Facility_Sauna,Facility_Security,Facility_Squash Court,Facility_Swimming Pool,Facility_Tennis Court,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Bus_Stop,Has_Highway,Has_Railway_Station,Has_Nearby_School,Has_Nearby_Mall,Has_Nearby_Railway_Station
3.0,2.0,1035.0,25.0,1255.0,1.0,2018.0,Freehold,Apartment,Medium,Non Bumi Lot,Johor,485000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,800.0,29.0,525.0,1.0,2005.0,Leasehold,Apartment,High,Non Bumi Lot,Penang,328000.0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,850.0,,,0.0,,Freehold,Apartment,-,Non Bumi Lot,Selangor,275000.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
3.0,2.0,925.0,5.0,,1.0,,Freehold,Apartment,Low,Non Bumi Lot,Selangor,368000.0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
3.0,2.0,830.0,,,1.0,,Leasehold,Apartment,High,Bumi Lot,Kuala Lumpur,330000.0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0
3.0,2.0,949.0,,635.0,2.0,2019.0,Freehold,Apartment,Medium,Non Bumi Lot,Selangor,275000.0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1250.0,30.0,410.0,2.0,2017.0,Freehold,Condominium,High,Non Bumi Lot,Penang,600000.0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,850.0,5.0,,0.0,,Leasehold,Apartment,-,Non Bumi Lot,Selangor,300000.0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
2.0,2.0,867.0,20.0,,1.0,,Freehold,Condominium,High,Non Bumi Lot,Selangor,370000.0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
3.0,2.0,650.0,16.0,,0.0,,Freehold,Apartment,-,Non Bumi Lot,Kuala Lumpur,130000.0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3.0,2.0,1036.0,33.0,550.0,2.0,2021.0,Freehold,Condominium,-,Non Bumi Lot,Penang,688000.0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,946.0,17.0,616.0,1.0,2008.0,Leasehold,Condominium,High,Bumi Lot,Selangor,350000.0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0
3.0,2.0,1100.0,,,1.0,,Freehold,Condominium,Medium,Non Bumi Lot,Melaka,350000.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,712.0,,,0.0,,Leasehold,Apartment,Medium,Non Bumi Lot,Sabah,250000.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,650.0,,,0.0,,Leasehold,Apartment,High,Bumi Lot,Cheras,200000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1023.0,22.0,1074.0,1.0,2010.0,Leasehold,Condominium,-,Non Bumi Lot,Selangor,270000.0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
3.0,2.0,900.0,22.0,754.0,5.0,2008.0,Leasehold,Condominium,Medium,Non Bumi Lot,Penang,415000.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,1500.0,22.0,144.0,2.0,,Freehold,Condominium,High,Non Bumi Lot,Penang,780000.0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,1191.0,20.0,973.0,0.0,2016.0,Leasehold,Apartment,Medium,Non Bumi Lot,Johor,420000.0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,1.0,676.0,,,0.0,,Freehold,Flat,High,Non Bumi Lot,Selangor,150000.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,891.0,,280.0,2.0,2018.0,Freehold,Service Residence,-,Non Bumi Lot,Selangor,488000.0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3.0,2.0,900.0,5.0,,1.0,,Freehold,Apartment,High,Bumi Lot,Selangor,140000.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,783.0,,,1.0,,Leasehold,Apartment,High,Bumi Lot,Selangor,170000.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
3.0,2.0,1150.0,,,1.0,2005.0,Freehold,Condominium,-,Non Bumi Lot,Kuala Lumpur,380000.0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
3.0,2.0,710.0,,,1.0,,Freehold,Condominium,-,Non Bumi Lot,Penang,408000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,850.0,,,2.0,,Leasehold,Apartment,Medium,Non Bumi Lot,Sabah,280000.0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,947.0,22.0,396.0,2.0,2017.0,Leasehold,Condominium,Low,Non Bumi Lot,Penang,520000.0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,850.0,12.0,1012.0,1.0,,Leasehold,Apartment,High,Non Bumi Lot,Sabah,265000.0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,975.0,42.0,916.0,2.0,2018.0,Leasehold,Service Residence,-,Non Bumi Lot,Selangor,470000.0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
3.0,2.0,958.0,17.0,,1.0,,Leasehold,Apartment,High,Bumi Lot,Johor,228000.0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,1226.0,,,1.0,,Leasehold,Service Residence,Medium,Non Bumi Lot,Sarawak,390000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,987.0,5.0,80.0,1.0,2017.0,Leasehold,Apartment,High,Non Bumi Lot,Sabah,420000.0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,1353.0,,,2.0,2026.0,Freehold,Apartment,Medium,Bumi Lot,Johor,330000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,700.0,,,0.0,,Leasehold,Apartment,Low,Non Bumi Lot,Sabah,250000.0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,748.0,,,1.0,,Leasehold,Condominium,Low,Bumi Lot,Kuala Lumpur,300000.0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1
3.0,2.0,1050.0,,,2.0,,Leasehold,Apartment,Medium,Non Bumi Lot,Sarawak,620000.0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,650.0,,,0.0,,Freehold,Flat,-,Non Bumi Lot,Penang,260000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,1.0,603.0,,,0.0,,Leasehold,Apartment,Medium,Bumi Lot,Ampang,200000.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
